crosshead_mean,crosshead_min,crosshead_max,crosshead_median,crosshead_standard,reaction_mean,reaction_min,reaction_max,reaction_median,reaction_standard,spray_mean,spray_min,spray_max,spray_median,spray_standard,player_name,is_pro
5.321747723376279,0.9249270413547914,14.448544872107679,4.09246827018089,4.2722724786060775,12.727272727272727,3.0,32.0,9.0,9.573551721382378,17.727272727272727,6,45,13.0,12.07620431856805,karrigan,0
8.919466510468897,0.8079403602616808,24.33814355048867,7.057802264677252,7.063827665342249,18.615384615384617,4.0,92.0,9.0,23.711530663171718,36.69230769230769,6,215,23.0,52.67517969796608,NiKo,0
4.412018512142358,0.6552142927578767,10.273336868032985,3.333678417652767,3.615360594618759,10.9,2.0,48.0,5.5,13.17915020022156,29.5,6,90,22.0,23.66114959168299,m0NESY,0
6.526751494299398,0.8967843660563569,28.51020816208163,2.521919620334371,7.848637322172914,10.25,1.0,34.0,7.0,10.084022015049353,16.166666666666668,5,31,13.5,7.414325473178408,tN1R,0
6.64831448412705,0.8895546204214885,27.754391277434575,3.03149195266967,8.030467582010381,29.0,1.0,140.0,10.0,43.99747467500581,41.388888888888886,6,121,35.0,29.8573253414168,magixx,0
3.3590844973886096,0.13270400689029618,8.17742877028257,3.126138080959684,2.682553255638745,6.625,2.0,10.0,7.0,2.8695600708122493,38.0,6,168,19.0,50.214539727055154,sh1ro,0
2.986235606413291,0.9022228806807956,5.0707227167843225,3.3341910888786437,1.2858531900779941,22.142857142857142,6.0,71.0,11.0,20.945020352127145,45.714285714285715,19,165,20.0,49.64075021222637,zont1x,0
4.799464838126357,0.36956526752057334,21.46806765645903,2.666672224922425,4.865161633405016,12.863636363636363,1.0,31.0,10.5,10.02404134861173,27.954545454545453,5,239,12.5,49.78999285428501,kyousuke,0
5.408859810747081,0.840000288222701,19.198861301348817,2.687515559638673,5.297975160193432,12.714285714285714,1.0,56.0,9.0,12.18173049378163,37.476190476190474,5,212,17.0,52.64311020593478,TeSeS,0
7.387644002708617,1.0202914300640735,20.627083265667594,5.376948140194887,6.5603509703283045,14.384615384615385,1.0,46.0,6.0,13.798207584479178,21.923076923076923,6,66,13.0,18.125466735471896,tN1R,0
7.022381509155169,1.1818399201330116,29.21384500986417,4.57674959498064,7.788338680933194,40.5,2.0,191.0,22.5,54.44492630172255,21.1,6,46,19.5,11.911758896149637,magixx,0
5.316884356292581,0.4502395892623046,23.213928222461576,4.434474349388794,5.637595705683165,10.5,1.0,28.0,8.5,8.32165848854662,37.75,5,143,22.5,43.53183700848533,m0NESY,0
2.7102860584554693,0.9791878356721055,4.970431985642069,2.2919528523563883,1.414489131212558,12.333333333333334,3.0,25.0,12.0,8.673074554171793,24.5,7,48,22.5,16.33758448078132,karrigan,0
6.652564214480379,0.19281449969864173,21.035159559924804,5.844121334870134,5.469139766327135,17.63157894736842,4.0,53.0,11.0,14.611497010072112,23.57894736842105,5,99,13.0,23.29516730879172,donk,0
9.015818923327464,0.5319225360819767,22.49104277936765,6.651336658459206,7.042491961644141,11.631578947368421,2.0,60.0,8.0,13.507154152388981,40.473684210526315,5,242,23.0,55.52843597847923,sh1ro,0
7.730843856216894,2.028350657118146,22.23768517690041,6.141840560858931,5.888230664223505,14.75,6.0,33.0,13.5,8.898735865278843,57.125,6,251,13.0,82.75783573172995,zont1x,0
5.2935110140385895,0.1341703946898555,19.031238346071554,1.6119194625246824,6.21691586807259,10.533333333333333,1.0,38.0,4.0,10.732298086720395,16.133333333333333,6,32,13.0,7.329089681232967,NiKo,0
7.513377309996281,1.1138177941769212,22.217408706833695,4.207007512925928,5.935480033431337,10.705882352941176,2.0,25.0,7.0,7.118862317255583,24.0,7,67,19.0,14.65284553774253,mezii,0
5.317255102499257,0.48375956408961207,12.601147685523463,2.0823410737351606,4.575785865795953,10.333333333333334,1.0,43.0,4.0,12.806248474865697,22.666666666666668,7,45,23.0,11.652372195299025,NiKo,0
3.4947142282135593,1.7785027500759467,6.327626750855555,3.382866710009133,1.5116363938271333,7.571428571428571,3.0,22.0,6.0,6.091144458665098,14.285714285714286,6,26,14.0,7.515969393123375,flameZ,0
5.709792505785612,0.1958352792096712,26.417450308182044,2.8234135496308435,6.738462475122371,11.733333333333333,2.0,37.0,7.0,10.957290824935798,18.266666666666666,7,51,13.0,13.268844042425934,TeSeS,0
9.042385698548486,1.3055128679019727,24.7229710153959,8.287757803814909,6.72888075224086,15.076923076923077,1.0,39.0,9.0,13.344324858049573,22.846153846153847,6,40,25.0,9.98341820486623,kyousuke,0
8.589799860325716,0.2712420465110601,29.78239286347244,2.3886418289278994,10.077539562407056,15.0,2.0,52.0,5.5,16.036416889899897,67.41666666666667,6,274,21.0,88.34917310812189,m0NESY,0
4.910765728031307,1.868336102297109,11.603422627615146,4.069963428280619,2.8645555856511513,12.454545454545455,1.0,51.0,8.0,13.103529270347092,25.181818181818183,6,64,16.0,20.184684481143265,apEX,0
